transaction_id,loan_id,customer_id,name,transaction_date,transaction_amount,loan_amount,transaction_flag
741,2,466,"Paula Gutierrez","10/30/2023 19:44",23834,58764,"High-Value Transaction"
3063,5,118,"Dalton Nguyen","6/20/2024 1:04",42713,114287,"High-Value Transaction"
3899,15,947,"Mary Stuart","8/17/2024 4:51",39676,116476,"High-Value Transaction"
3267,21,792,"Lindsey Snyder","10/13/2021 14:05",25592,27941,"High-Value Transaction"
4215,21,937,"Edward Powers","4/2/2020 17:18",29683,27941,"High-Value Transaction"
4606,21,447,"Nicole Hodges","7/20/2024 7:58",14844,27941,"High-Value Transaction"
1887,44,141,"Brian Cain","2/12/2023 13:35",47054,112595,"High-Value Transaction"
174,47,91,"William Wagner","8/10/2022 15:51",12300,13462,"High-Value Transaction"
2125,47,65,"Colleen Rivers","4/3/2021 9:32",15564,13462,"High-Value Transaction"
3755,47,738,"Lisa Ferrell","2/1/2021 18:01",35790,13462,"High-Value Transaction"
468,48,619,"Brandon Morrison","4/3/2021 0:31",19269,59018,"High-Value Transaction"
3914,48,877,"Annette Mercado","9/2/2021 12:54",44868,59018,"High-Value Transaction"
2680,49,825,"Katherine Long","12/5/2020 8:28",47074,54637,"High-Value Transaction"
3542,49,816,"Michael Rodriguez","6/26/2020 20:13",42253,54637,"High-Value Transaction"
2383,51,345,"Christina Huang","9/6/2023 2:47",45462,148578,"High-Value Transaction"
4570,62,509,"Jose Castaneda","11/11/2022 9:18",26910,87333,"High-Value Transaction"
446,69,6,"Debra Gibson","10/18/2022 9:27",37779,70961,"High-Value Transaction"
1111,73,681,"Amy Meyer","7/20/2020 16:53",48061,30924,"High-Value Transaction"
4744,73,781,"Elizabeth Farmer","2/26/2024 4:53",10185,30924,"High-Value Transaction"
2725,81,449,"David Moran","10/13/2024 14:35",30317,74694,"High-Value Transaction"
4793,81,742,"Lindsay Robertson","9/30/2023 16:37",40916,74694,"High-Value Transaction"
4397,84,359,"Larry Coleman","11/9/2023 18:16",17284,14168,"High-Value Transaction"
4652,84,212,"Alex Sullivan","4/7/2024 20:41",36570,14168,"High-Value Transaction"
2461,85,533,"William Bishop","7/9/2024 22:53",44406,99700,"High-Value Transaction"
3846,110,168,"Rebecca Richard","9/20/2021 21:04",20108,11761,"High-Value Transaction"
4412,110,345,"Christina Huang","4/17/2023 20:19",13077,11761,"High-Value Transaction"
2472,113,26,"Sarah Armstrong","9/18/2023 3:06",38598,65715,"High-Value Transaction"
2807,117,704,"Matthew Ortiz","9/2/2020 6:17",17292,34193,"High-Value Transaction"
4557,121,323,"Steven Ray","8/3/2020 12:55",44793,21122,"High-Value Transaction"
624,124,797,"David Martin","5/23/2022 12:47",9161,15784,"High-Value Transaction"
2011,125,464,"Michael Montgomery","7/11/2020 6:20",28822,86217,"High-Value Transaction"
3709,128,965,"Jessica Clark","4/21/2022 20:04",44804,24525,"High-Value Transaction"
2779,130,973,"Scott Garrett","2/14/2022 1:28",43426,115434,"High-Value Transaction"
1173,131,781,"Elizabeth Farmer","4/13/2022 8:24",33711,54781,"High-Value Transaction"
3182,149,430,"Eric Wilson","8/13/2022 1:10",23216,42581,"High-Value Transaction"
2947,150,943,"Monique Rich","6/29/2020 14:42",46694,149209,"High-Value Transaction"
4312,150,184,"Elizabeth Owens","12/22/2022 20:52",49073,149209,"High-Value Transaction"
747,155,146,"Karen Fisher","10/7/2024 6:50",34069,84951,"High-Value Transaction"
1796,155,710,"Diane Richardson","7/28/2023 8:02",39973,84951,"High-Value Transaction"
1369,159,215,"Brian Bruce","7/13/2024 22:24",20545,39099,"High-Value Transaction"
1905,159,901,"Danny Moody","2/10/2023 7:10",40782,39099,"High-Value Transaction"
732,166,989,"Amanda Williams","11/21/2024 8:48",41235,121586,"High-Value Transaction"
1966,172,382,"Robert Dominguez","7/3/2020 20:08",44272,121331,"High-Value Transaction"
3618,179,86,"Brett Hartman","12/2/2020 13:50",44587,67991,"High-Value Transaction"
4816,179,272,"Katelyn Simpson","1/1/2022 22:17",24969,67991,"High-Value Transaction"
513,181,698,"Angel Webb","1/9/2023 12:09",33647,104448,"High-Value Transaction"
373,183,940,"Tyler Walsh","8/25/2022 5:39",37804,42176,"High-Value Transaction"
